tenant,application,list_count,sql_count,difference,status
alsumri,observations,35,35,0,PASS
alsumri,actionmanagements,20,19,1,FAIL
alsumri,auditsmanagements,5,5,0,PASS
alsumri,customercomplaints,1,1,0,PASS
alsumri,hseplandetails,5,5,0,PASS
alsumri,incidentmanagement,2,2,0,PASS
alsumri,inspectionmanagements,10,10,0,PASS
alsumri,vehicle_inspections,19,19,0,PASS
alsumri,meetingmanagements,8,8,0,PASS
alsumri,riskmanagements,13,13,0,PASS
alsumri,mocnonconformances,3,3,0,PASS
alsumri,trainingmanagements,2,2,0,PASS
barik,observations,99,99,0,PASS
barik,actionmanagements,283,283,0,PASS
barik,auditsmanagements,101,101,0,PASS
barik,hsemonthlystatistics,7,7,0,PASS
barik,incidentmanagement,65,65,0,PASS
barik,inspectionmanagements,109,109,0,PASS
barik,meetingmanagements,26,26,0,PASS
barik,permittoworks,40,40,0,PASS
barik,riskmanagements,14,14,0,PASS
barik,mocnonconformances,7,7,0,PASS
barik,trainingmanagements,3,4,-1,FAIL
oneic,observations,10,10,0,PASS
oneic,actionmanagements,19,19,0,PASS
oneic,auditsmanagements,18,18,0,PASS
oneic,hsemonthlystatistics,40,40,0,PASS
oneic,incidentmanagement,3,3,0,PASS
oneic,inspectionmanagements,11,11,0,PASS
oapil,actionmanagements,33,33,0,PASS
oapil,eightdreports,19,19,0,PASS
oapil,auditsmanagements,18,18,0,PASS
oapil,incidentmanagement,9,9,0,PASS
oapil,nonconformances,19,19,0,PASS
sos,observations,960,960,0,PASS
sos,actionmanagements,1001,1001,0,PASS
sos,auditsmanagements,448,448,0,PASS
sos,customercomplaints,54,54,0,PASS
sos,hsemonthlystatistics,7,7,0,PASS
sos,incidentmanagement,588,588,0,PASS
sos,inspectionmanagements,388,388,0,PASS
sos,managementofchanges,22,22,0,PASS
sos,meetingmanagements,42,42,0,PASS
sos,riskmanagements,57,57,0,PASS
sos,surveymanagements,7,7,0,PASS
sos,mocnonconformances,16,16,0,PASS
sos,trainingmanagements,2173,2182,-9,FAIL
omancables,observations,18,18,0,PASS
omancables,actionmanagements,67,67,0,PASS
omancables,eightdreports,88,88,0,PASS
omancables,auditsmanagements,122,122,0,PASS
omancables,incidentmanagement,32,32,0,PASS
omancables,inspectionmanagements,24,24,0,PASS
omancables,nonconformances,6,6,0,PASS
qia,actionmanagements,68,68,0,PASS
qia,auditsmanagements,21,21,0,PASS
qia,hsemonthlystatistics,2,2,0,PASS
qia,incidentmanagement,7,7,0,PASS
qia,inspectionmanagements,17,17,0,PASS
qia,nonconformances,3,3,0,PASS
albaraka,observations,10,10,0,PASS
albaraka,actionmanagements,63,63,0,PASS
albaraka,auditsmanagements,35,35,0,PASS
albaraka,hseplandetails,7,7,0,PASS
albaraka,incidentmanagement,16,16,0,PASS
albaraka,inspectionmanagements,26,26,0,PASS
albaraka,managementofchanges,13,13,0,PASS
albaraka,meetingmanagements,16,16,0,PASS
albaraka,surveymanagements,1,1,0,PASS
albaraka,trainingmanagements,13418,13483,-65,FAIL
bunduq,observations,86,86,0,PASS
bunduq,actionmanagements,102,102,0,PASS
synergies,observations,1470,916,554,FAIL
synergies,actionmanagements,1036,482,554,FAIL
synergies,auditsmanagements,150,150,0,PASS
synergies,hsemonthlystatistics,64,64,0,PASS
synergies,incidentmanagement,86,86,0,PASS
synergies,inspectionmanagements,103,103,0,PASS
ndsc,observations,172,172,0,PASS
ndsc,auditsmanagements,89,89,0,PASS
ndsc,riskmanagements,65,65,0,PASS
ndsc,ofis,98,98,0,PASS
ajbanpv3,observations,16,16,0,PASS
ajbanpv3,actionmanagements,14,14,0,PASS
ajbanpv3,auditsmanagements,15,15,0,PASS
ajbanpv3,hsemonthlystatistics,17,17,0,PASS
ajbanpv3,incidentmanagement,14,14,0,PASS
ajbanpv3,inspectionmanagements,20,20,0,PASS
