tenant,application,list_count,sql_count,difference,status
sos,observations,960,960,0,PASS
sos,actionmanagements,1001,1001,0,PASS
sos,auditsmanagements,448,448,0,PASS
sos,customercomplaints,54,54,0,PASS
sos,hsemonthlystatistics,7,7,0,PASS
sos,incidentmanagement,588,588,0,PASS
sos,inspectionmanagements,388,388,0,PASS
sos,managementofchanges,22,22,0,PASS
sos,meetingmanagements,42,42,0,PASS
sos,riskmanagements,57,57,0,PASS
sos,surveymanagements,7,7,0,PASS
sos,mocnonconformances,16,16,0,PASS
sos,trainingmanagements,2173,2182,-9,FAIL
