tenant,application,list_count,sql_count,difference,status
alsumri,observations,34,35,-1,FAIL
alsumri,actionmanagements,15,15,0,PASS
alsumri,auditsmanagements,5,5,0,PASS
alsumri,customercomplaints,1,1,0,PASS
alsumri,hsemonthlystatistics,-1,-1,0,ERROR
alsumri,hseplandetails,4,4,0,PASS
alsumri,incidentmanagement,2,2,0,PASS
alsumri,inspectionmanagements,9,9,0,PASS
alsumri,vehicle_inspections,11,11,0,PASS
alsumri,managementofchanges,-1,-1,0,SQL_NOT_CONFIGURED
alsumri,meetingmanagements,8,8,0,PASS
alsumri,nonconformances,-1,-1,0,ERROR
alsumri,riskmanagements,-1,-1,0,ERROR
alsumri,surveymanagements,-1,-1,0,SQL_NOT_CONFIGURED
barik,observations,99,99,0,PASS
barik,actionmanagements,283,287,-4,FAIL
barik,auditsmanagements,101,5,96,FAIL
barik,hsemonthlystatistics,-1,-1,0,ERROR
barik,incidentmanagement,64,66,-2,FAIL
barik,inspectionmanagements,109,109,0,PASS
barik,managementofchanges,-1,-1,0,SQL_NOT_CONFIGURED
barik,meetingmanagements,26,26,0,PASS
barik,nonconformances,-1,-1,0,ERROR
barik,permittoworks,-1,-1,0,SQL_NOT_CONFIGURED
barik,riskmanagements,-1,-1,0,ERROR
barik,surveymanagements,-1,-1,0,SQL_NOT_CONFIGURED
oneic,observations,9,9,0,PASS
oneic,actionmanagements,19,19,0,PASS
oneic,auditsmanagements,18,18,0,PASS
oneic,hsemonthlystatistics,-1,-1,0,ERROR
oneic,incidentmanagement,3,3,0,PASS
oneic,inspectionmanagements,11,11,0,PASS
oapil,actionmanagements,33,33,0,PASS
oapil,eightdreports,-1,-1,0,SQL_NOT_CONFIGURED
oapil,auditsmanagements,18,18,0,PASS
oapil,incidentmanagement,9,9,0,PASS
oapil,nonconformances,-1,-1,0,ERROR
sos,observations,960,1026,-66,FAIL
sos,actionmanagements,998,1063,-65,FAIL
sos,auditsmanagements,446,483,-37,FAIL
sos,customercomplaints,50,50,0,PASS
sos,hsemonthlystatistics,-1,-1,0,ERROR
sos,incidentmanagement,585,608,-23,FAIL
sos,inspectionmanagements,388,388,0,PASS
sos,managementofchanges,-1,-1,0,SQL_NOT_CONFIGURED
sos,meetingmanagements,40,43,-3,FAIL
sos,nonconformances,-1,-1,0,ERROR
sos,riskmanagements,-1,-1,0,ERROR
sos,surveymanagements,-1,-1,0,SQL_NOT_CONFIGURED
omancables,observations,18,18,0,PASS
omancables,actionmanagements,67,67,0,PASS
omancables,eightdreports,-1,-1,0,SQL_NOT_CONFIGURED
omancables,auditsmanagements,114,115,-1,FAIL
omancables,incidentmanagement,31,31,0,PASS
omancables,inspectionmanagements,24,24,0,PASS
omancables,nonconformances,-1,-1,0,ERROR
qia,actionmanagements,68,68,0,PASS
qia,eightdreports,-1,-1,0,SQL_NOT_CONFIGURED
qia,auditsmanagements,21,21,0,PASS
qia,hsemonthlystatistics,-1,-1,0,ERROR
qia,incidentmanagement,7,7,0,PASS
qia,inspectionmanagements,17,17,0,PASS
qia,nonconformances,-1,-1,0,ERROR
albaraka,observations,10,10,0,PASS
albaraka,actionmanagements,63,63,0,PASS
albaraka,auditsmanagements,35,35,0,PASS
albaraka,hseplandetails,7,7,0,PASS
albaraka,incidentmanagement,16,16,0,PASS
albaraka,inspectionmanagements,26,26,0,PASS
albaraka,managementofchanges,-1,-1,0,SQL_NOT_CONFIGURED
albaraka,meetingmanagements,16,10,6,FAIL
albaraka,surveymanagements,-1,-1,0,SQL_NOT_CONFIGURED
bunduq,observations,86,86,0,PASS
bunduq,actionmanagements,102,102,0,PASS
synergies,observations,896,889,7,FAIL
synergies,actionmanagements,469,277,192,FAIL
synergies,auditsmanagements,132,138,-6,FAIL
synergies,hsemonthlystatistics,-1,-1,0,ERROR
synergies,incidentmanagement,83,83,0,PASS
synergies,inspectionmanagements,97,97,0,PASS
ndsc,observations,124,125,-1,FAIL
ndsc,auditsmanagements,79,79,0,PASS
ndsc,riskmanagements,-1,-1,0,ERROR
ajbanpv3,observations,16,16,0,PASS
ajbanpv3,actionmanagements,14,16,-2,FAIL
ajbanpv3,auditsmanagements,15,15,0,PASS
ajbanpv3,hsemonthlystatistics,-1,-1,0,ERROR
ajbanpv3,incidentmanagement,13,13,0,PASS
ajbanpv3,inspectionmanagements,20,20,0,PASS
