tenant,application,list_count,sql_count,difference,status
ajbanpv3,observations,16,16,0,PASS
albaraka,action_tracker,63,63,0,PASS
albaraka,audits_management,33,33,0,PASS
albaraka,hse_plan_details,7,7,0,PASS
albaraka,incident_management,16,16,0,PASS
albaraka,inspection_management,24,24,0,PASS
albaraka,observations,10,10,0,PASS
alsumri,action_tracker,15,15,0,PASS
alsumri,audits_management,3,3,0,PASS
alsumri,incident_management,2,2,0,PASS
alsumri,inspection_management,7,7,0,PASS
alsumri,management_of_change,-1,-1,0,APPLICATION_NOT_FOUND
alsumri,moc_non_conformance,-1,-1,0,SQL_NOT_CONFIGURED
alsumri,observations,34,35,-1,FAIL
alsumri,risk_management,-1,-1,0,SQL_NOT_CONFIGURED
barik,action_tracker,283,287,-4,FAIL
barik,hse_monthly_statistics,-1,-1,0,SQL_NOT_CONFIGURED
barik,incident_management,64,65,-1,FAIL
barik,inspection_management,109,109,0,PASS
barik,meetings_management,-1,-1,0,APPLICATION_NOT_FOUND
barik,observations,99,99,0,PASS
barik,permit_to_work,-1,-1,0,SQL_NOT_CONFIGURED
bunduq,action_tracker,102,102,0,PASS
bunduq,observations,86,87,-1,FAIL
ndsc,audits_management,71,71,0,PASS
ndsc,observations,92,93,-1,FAIL
ndsc,ofi_nc,-1,-1,0,APPLICATION_NOT_FOUND
ndsc,risk_management,-1,-1,0,SQL_NOT_CONFIGURED
oapil,8d_report,-1,-1,0,APPLICATION_NOT_FOUND
oapil,audits_management,15,15,0,PASS
oapil,incident_management,9,9,0,PASS
oapil,non_conformance,-1,-1,0,APPLICATION_NOT_FOUND
omancables,8d_report,-1,-1,0,APPLICATION_NOT_FOUND
omancables,action_tracker,67,67,0,PASS
omancables,incident_management,31,31,0,PASS
omancables,inspection_management,22,22,0,PASS
omancables,non_conformance,-1,-1,0,APPLICATION_NOT_FOUND
omancables,observations,18,18,0,PASS
oneic,audits_management,16,16,0,PASS
oneic,incident_management,3,3,0,PASS
oneic,inspection_management,9,9,0,PASS
oneic,observations,9,9,0,PASS
qia,action_tracker,68,68,0,PASS
qia,audits_management,21,21,0,PASS
qia,incident_management,7,7,0,PASS
qia,inspection_management,17,17,0,PASS
qia,non_conformance,-1,-1,0,APPLICATION_NOT_FOUND
qia,permit_to_work,-1,-1,0,SQL_NOT_CONFIGURED
sos,action_tracker,998,1063,-65,FAIL
sos,audits_management,446,483,-37,FAIL
sos,customer_complaints,-1,-1,0,SQL_NOT_CONFIGURED
sos,file_management,-1,-1,0,APPLICATION_NOT_FOUND
sos,incident_management,583,606,-23,FAIL
sos,inspection_management,387,387,0,PASS
sos,meetings_management,-1,-1,0,APPLICATION_NOT_FOUND
sos,management_of_change,-1,-1,0,APPLICATION_NOT_FOUND
sos,moc_ncr,-1,-1,0,SQL_NOT_CONFIGURED
sos,observations,960,1026,-66,FAIL
sos,risk_management,-1,-1,0,SQL_NOT_CONFIGURED
sos,survey_management,-1,-1,0,SQL_NOT_CONFIGURED
sos,training_matrix,-1,-1,0,APPLICATION_NOT_FOUND
synergies,action_tracker,257,260,-3,FAIL
synergies,audits_management,130,136,-6,FAIL
synergies,hse_monthly_statistics,-1,-1,0,SQL_NOT_CONFIGURED
synergies,incident_management,82,82,0,PASS
synergies,inspection_management,95,95,0,PASS
synergies,observations,83,76,7,FAIL
